n_have_shirked,n_have_shirked_or_neg_NPV,n_first_best_closures,n_capital_requirements_closure,n_first_best_balanced_closures_under_shock,n_first_best_prudent_closures_under_shock,n_capital_requirements_balanced_closures_under_shock,n_capital_requirements_prudent_closures_under_shock,realized_outcome,n_have_shirked_post_shock,n_have_shirked_or_neg_NPV_post_shock,n_first_best_closures_post_shock,n_capital_requirements_closures_post_shock
7,12,1,0,11,25,0,0,severe,22,57,26,0
22,31,19,2,8,22,0,0,light,15,26,24,2
19,23,12,0,6,14,0,0,light,3,10,10,3
11,17,7,0,7,22,0,0,light,7,18,17,2
16,25,11,0,7,26,1,1,light,11,20,21,4
15,19,9,0,5,17,0,0,light,2,17,16,1
15,20,11,0,7,20,0,0,light,11,21,18,1
14,24,10,1,10,26,0,0,light,10,26,24,2
12,17,8,0,4,21,0,0,severe,13,48,16,4
15,19,8,0,9,18,0,0,severe,17,56,20,1
22,24,14,2,6,23,0,0,light,9,21,18,2
12,20,7,0,7,16,0,0,light,8,16,18,1
16,20,13,0,3,17,0,0,light,5,13,10,4
19,25,14,0,8,15,0,0,light,14,18,18,3
22,30,14,0,12,25,0,0,light,11,15,21,2
17,27,12,0,18,32,1,1,severe,32,51,35,4
12,14,6,0,11,30,0,0,light,14,28,23,2
12,20,8,0,9,17,0,0,light,12,17,18,2
14,19,11,0,4,22,0,0,light,8,19,20,2
10,17,8,0,8,23,0,0,light,11,23,21,0
20,28,12,0,12,20,0,0,light,12,18,23,3
17,21,15,0,3,15,0,0,light,4,14,13,2
18,24,11,0,13,22,0,1,light,6,17,19,3
14,23,11,0,11,21,1,1,severe,20,51,23,4
12,19,7,1,6,21,0,0,light,7,15,16,2
19,24,16,0,5,16,0,0,light,6,15,12,2
19,28,10,0,7,26,0,0,light,12,18,21,1
23,26,15,0,8,24,1,1,light,10,24,24,4
13,19,8,0,8,24,0,0,light,8,18,17,2
12,18,11,0,5,15,0,0,light,7,15,13,1
10,13,9,1,5,12,0,0,light,8,13,9,2
13,19,12,0,7,21,0,0,light,7,18,13,3
17,21,10,0,10,22,0,0,light,11,22,22,3
18,24,10,0,12,24,0,0,light,14,22,24,2
20,25,11,1,8,22,0,0,light,10,13,20,1
17,20,12,0,3,15,0,0,severe,18,53,21,4
13,14,6,0,10,21,0,0,light,8,19,16,0
12,13,10,0,3,13,0,0,severe,13,43,15,1
18,24,14,1,15,23,0,0,light,10,23,21,2
14,17,11,0,7,13,0,0,light,6,10,12,2
13,20,8,0,10,20,1,1,light,7,17,21,1
15,23,10,0,16,29,0,0,light,16,22,28,0
12,15,8,1,9,15,0,0,severe,17,45,20,2
13,22,10,0,6,20,0,0,light,6,18,15,2
15,24,8,0,10,22,0,0,light,9,14,18,2
8,13,5,1,9,17,1,1,light,9,12,12,2
18,22,11,0,9,22,0,0,light,10,20,22,2
9,20,7,0,8,19,0,0,light,12,15,17,1
17,25,11,0,11,19,0,0,severe,17,46,22,3
18,22,13,0,7,18,0,0,light,10,17,21,2
14,17,9,0,15,30,0,0,light,14,24,26,2
20,27,15,0,7,21,0,0,light,4,13,13,4
14,20,11,0,11,23,0,0,light,9,20,18,1
17,23,8,0,9,27,0,1,severe,19,55,26,2
10,20,5,0,10,17,0,0,severe,26,48,31,3
14,15,13,0,7,18,0,0,light,13,18,18,2
11,16,10,0,6,16,0,0,light,5,13,10,2
13,15,10,0,9,21,0,0,light,9,24,21,4
12,21,9,0,6,23,0,0,severe,19,65,21,2
15,18,10,0,4,11,0,0,severe,12,41,15,1
11,18,7,1,9,17,0,0,severe,17,41,20,1
9,14,8,0,7,15,0,0,light,10,17,16,1
10,17,7,0,12,26,0,0,light,12,18,23,3
18,23,13,0,6,14,0,0,light,5,11,12,1
18,24,11,0,10,23,0,0,severe,21,54,26,1
20,27,13,0,9,26,0,0,light,5,17,21,1
18,25,14,0,8,17,0,0,light,12,15,16,1
14,18,9,0,7,23,0,0,light,5,27,16,0
25,36,18,1,18,33,0,2,light,15,22,29,2
16,21,9,1,8,16,0,0,light,12,22,21,1
17,23,13,0,9,20,0,0,light,7,20,17,2
15,23,14,1,3,13,0,0,light,4,11,11,0
19,26,15,0,11,22,0,0,light,8,17,19,3
14,20,12,0,10,22,0,0,light,9,19,18,2
24,35,14,0,16,30,0,2,light,14,23,25,4
17,22,14,0,6,21,0,0,severe,19,57,20,1
10,16,7,0,10,18,0,0,light,10,17,16,1
16,26,9,0,8,22,0,0,light,10,20,20,2
19,26,12,0,8,17,0,0,light,10,15,18,1
21,25,14,0,8,24,0,0,light,6,16,18,2
14,20,10,1,5,22,0,0,light,6,17,15,0
7,14,5,0,11,29,0,0,light,7,21,18,0
13,16,9,0,7,18,0,0,light,9,17,14,1
15,21,12,0,10,23,0,0,light,12,20,21,1
12,17,9,0,8,23,0,0,light,12,20,18,2
16,22,12,1,8,26,0,0,light,11,26,20,4
13,19,8,1,7,23,0,0,severe,16,48,18,0
13,19,10,0,4,20,0,0,light,7,20,14,2
11,19,8,0,13,25,0,0,light,11,21,20,0
16,23,13,0,5,20,0,0,light,6,15,16,2
19,25,13,0,7,18,0,0,light,6,11,14,1
12,16,10,1,10,22,0,0,light,14,24,18,1
23,31,13,0,11,26,0,0,severe,21,55,28,4
13,18,9,0,12,18,0,0,light,8,21,19,2
13,20,11,0,10,18,0,0,light,10,19,19,1
19,26,15,0,9,21,0,0,light,9,20,18,3
8,18,5,0,4,14,0,0,light,7,10,12,0
11,15,8,0,6,17,0,0,light,7,15,15,0
11,21,7,0,11,22,0,0,light,12,17,20,0
12,15,7,0,7,17,0,0,light,6,18,13,2
19,25,15,0,10,17,0,0,light,8,17,17,4
16,20,12,0,9,23,0,0,severe,18,50,21,4
17,24,10,0,12,28,0,0,light,12,20,22,2
15,18,13,0,7,21,0,0,light,10,21,16,0
9,12,5,0,8,21,0,0,light,5,17,12,0
15,21,11,1,12,27,0,0,light,13,24,24,0
11,23,8,1,7,27,0,0,light,8,22,21,1
10,16,8,0,13,28,0,0,light,17,25,25,0
17,22,9,0,8,16,0,0,light,10,14,16,0
15,22,10,0,6,14,0,0,light,7,11,12,4
17,26,12,0,9,22,0,0,light,14,17,22,3
14,19,9,0,7,19,0,1,severe,21,49,22,3
9,14,6,1,6,22,0,0,light,6,17,18,0
17,24,14,1,2,23,0,0,light,7,18,16,2
17,21,12,0,10,22,0,0,light,10,22,21,1
12,23,9,0,11,18,0,0,light,9,17,18,2
15,24,12,1,10,32,0,0,light,12,22,20,3
18,22,10,0,7,17,0,0,light,4,15,14,2
13,24,9,0,9,25,0,0,light,13,20,22,0
11,18,8,0,9,20,0,0,severe,23,50,27,2
18,24,15,0,12,25,0,0,light,11,26,22,3
13,20,10,0,7,20,0,0,light,9,14,13,0
19,23,11,0,9,18,0,0,light,9,12,18,1
21,27,13,1,8,25,0,0,severe,18,50,22,1
11,14,7,0,10,25,0,0,light,13,20,20,1
14,21,11,0,9,22,0,0,light,12,21,24,1
16,25,12,0,11,23,0,0,severe,23,54,25,5
12,17,10,0,8,20,0,0,light,13,27,21,2
13,18,10,0,9,19,0,0,light,11,22,20,1
10,18,5,1,8,26,0,0,light,11,23,19,0
14,20,7,0,7,22,0,0,light,8,21,18,1
15,21,12,0,7,23,0,0,light,8,19,15,2
11,18,10,0,6,22,0,0,light,9,16,16,0
10,17,2,0,9,24,0,0,light,12,19,22,0
23,33,12,0,16,37,0,0,light,14,24,32,3
18,26,12,0,6,18,0,0,light,4,8,14,1
13,20,9,0,11,25,0,0,severe,25,52,28,4
18,25,13,1,9,25,0,0,light,5,16,20,0
19,26,13,0,16,27,0,0,light,13,25,23,0
16,24,16,1,6,18,0,0,light,8,17,13,0
